name,review,sentiment,feedback1,feedback2,feedback3,positive_kws,negative_kws
Vijay Thakkar,"I recently visited The Food Town in Mulund and had a delightful dining experience. The ambiance was stylish and inviting, with dim lighting that added to the cozy atmosphere. The service was prompt and friendly, with staff knowledgeable about the menu. The highlight of my meal was the Pink Pasta, which was incredibly flavorful and cooked to perfection. I also enjoyed the Fresh Lime Soda, which was refreshing and just right for the meal. The variety of dishes available is impressive, offering a range of vegetarian options across different cuisines. Overall, I highly recommend The Food Town for its excellent food and great service.",positive,the customer had a delightful dining experience.,The ambiance was stylish and inviting.,The Pink Pasta was incredibly flavorful.,"['stylish ambiance', 'prompt service', 'delicious food', 'impressive variety', nan]",
Prathamesh Bandekar,"Me and my friends had a nice reunion here during Raksha Bandhan. We ordered BBQ Pizza and Paneer tikka Pizza. Both pizzas were thin crust and were decent.

One thing which I loved here was the korean noodles. The noodles were cilantro based with a coconut curry just like thai curry. That combination worked so well and something I didn't expect for the night. The curry was so much in quantity I later had to order Thai basil rice and that combination was godly. The taste still lingers on my tongue.",positive,the customer enjoyed a nice reunion at the restaurant.,They tried BBQ Pizza and Paneer Tikka Pizza.,The Korean noodles with coconut curry were particularly liked.,"['decent pizza', 'nice reunion', 'korean noodles', 'coconut curry', nan]",
Keshav Dubey,"I visited Food town recently and I must say it's a good place for vegetarians. They have 2 floors for seating, the ambiance is good, service is prompt and fast and food tastes great.

Recommendation

1) Triple Schezwan fried rice - the rice was long and it tasked good on it own but paired with the gravy it tasted delicious

2) Asparagus Tempura Shushi - Those who like sushi will definitely like this as well, sofr rice with crunchy Tempura tasted amazing although their wasabi was not original tasted more like garlic.

3) Lasooni Masala - This was one of the best Lasooni Masala I have tried, paired with Tandoor Butter roti it tasted absolute delicious

4) Panner Chilly Bao - One of the best Bao I have tried so far, soft Bao with delicious Paneer filling it was incredible.

Overall the food tasted really good, some of the dishes were not up to the mark like cheese cigar rolls, Mexican Pizza.

Must visit if you are vegetarian and looking for fusion food and multi cuisine dishes.

Follow for more such reviews and do leave a thumbs up if you liked the review.",positive,the customer expressed positive sentiment.,,,"[nan, nan, nan, nan, nan]",
Vishal Chaskar,"Visited this restaurant for the third time, I liked this restaurant because of their food taste ambience and service.
Today we ordered butter garlic paneer which is creamy, thai pot rice taste's awesome, paneer chilli bow was good and garlic burnt noodles on average side.",positive,the customer enjoyed multiple visits to the restaurant.,The food flavors were well-received.,Service quality was satisfactory.,"['tasty food', 'good service', 'nice ambiance', nan, nan]",
Manasi Kadam,"Food Quality and Taste are both great!

We order Pizza, Soup, Starters and Noodles and everything was tasty and perfect. Very good seating. Even if there is a waiting, they have good arrangements that too. Staff is friendly and polite.",positive,the customer enjoyed their meal.,Everything tasted great.,The staff were friendly and polite.,"['tasty food', 'good service', 'friendly staff', 'nice ambiance', nan]",
Reema Yadav,"A Must-Visit Pure Veg Gem in Thane!

""The Food Town"" is a revelation! This outstanding pure veg restaurant in Thane exceeded my expectations in every way. The food quality was exceptional, with each dish showcasing impressive flavors and presentation.

The service was top-notch, with attentive and courteous staff ensuring a seamless dining experience.

If you're a vegetarian or just looking for a fantastic meal, ""The Food Town"" is an absolute must-visit in Thane. Don't miss out on this hidden gem!",positive,"the customer found ""The Food Town"" to be an outstanding pure veg restaurant.","The food quality was exceptional, with each dish showcasing impressive flavors and presentation.","The service was top-notch, with attentive and courteous staff.","['excellent food', 'impressive flavors', 'top-notch service', 'attentive staff', nan]",
Twinkal Jaiswar,"I recently visited Food Town Restaurant, a vegetarian restaurant, and was impressed with the delicious and tasty food. The service was also excellent, with friendly and attentive staff. The atmosphere was welcoming and cozy, making it a perfect spot for a pleasant dining experience.",positive,the customer enjoyed the delicious and tasty food.,The service was excellent.,The atmosphere was welcoming and cozy.,"['delicious food', 'excellent service', 'friendly staff', 'welcoming atmosphere', nan]",
dhruv kapatel,Ambience is amazing. Good decoration. Service is quick. I went on weekend so there was 40 minutes waiting time. Food quality was awesome especially paneer and cheese. Tried Paneer hot dragon and veg cheese biryani.,positive,the customer enjoyed the ambiance.,Service was quick.,Food quality was excellent.,"['amazing ambience', 'quick service', 'awesome food', 'long wait times', nan]",
Santosh Shirke,"It's a pure veg multi-cuisine restaurant. The food here is good as well. The fusion food here is good. I liked the cheese fondues. The Indian dishes are very good as well.
The pizzas here are decent.
You should try the Indian starters for sure. I tried the Indian platter and  all the tikkas were really good
The ambience is the best thing about this restaurant.usually there is waiting here in the evening.",positive,the customer enjoyed the food and ambiance.,The restaurant offers a variety of cuisines.,Indian dishes were particularly liked.,"['good food', 'decent pizza', 'nice ambiance', nan, nan]",
Priti Gupta,They serve a variety of cusines which are flavourful. I really like their own creation of sandwiches. I love their biryani too. The starters are really worth the shot.,positive,the customer enjoyed a variety of cuisines.,They particularly liked the restaurant's sandwich creations.,The biryani and starters were highly appreciated.,"['diverse menu', 'flavorful dishes', 'innovative creations', 'quality starters', nan]",
shital Gajra,"It is a great place to visit when you are looking for pure veg hotels, The food is amazing and all the dishes i have tried here were delicious, they're always crowded so book your table in advance",positive,the customer enjoyed visiting a great vegetarian hotel.,The food was amazing and all dishes were delicious.,"The restaurant gets very busy, so booking tables in advance is recommended.","['vegan-friendly', 'delicious food', 'popular restaurant', 'crowded', nan]",
Abhishek Bane,"Good food.
Visited here after their branch in Mulund
The food taste was consistent, good staff, good crockery",positive,the customer enjoyed the food.,The taste was consistent.,Good service and crockery.,"['good food', 'consistent taste', 'good staff', 'good crockery', nan]",
Yash Shah,"Its a only veg restaurant with many options on the menu.. We tried Cheese Cigar, Pav Bhaji Fondue, Butter garlic Paneer, French Fries, Paneer Chilly Sizzler and finally pan shots.. I would suggest to go for butter garlic paneer, fondue and cigars.. They have 80-90% of the menu available for Jain as well.. Awesome ambience and mostly its full after 8pm. No reservations available.",positive,the customer enjoyed a variety of dishes.,"Butter garlic paneer, fondue, and cigars were highly recommended.",The restaurant has a good ambiance and is popular after 8 pm.,"['vegan options', 'wide menu', 'good ambiance', 'full after 8pm', nan]",
Akansha Rawat,"This was a really nice restaurant with every option in veg. Like, where do I start... We planned on eating a proper non veg main course but ended up coming here without a proper survey... However the dishes we ordered were delicious. It makes me wanna go here again fr. Every dish was recommended by their employee. I would absolutely suggest you to go with their recommendations by letting them know ur choice of taste.
First we ordered starters :
Paneer Tikka - properly smoked and spices were added so well to the softness of paneer. The salad with it gives a perfect flavour to your mouth to eat together.
Cheese Cigar Roll - These were dipped in Schezwan sauce that already gave it a cheesy and additional spicy flavour. A different thing that I liked about this dish was, the crunch and flavour of the cover it had.
Chilli Paneer Bao - we usually do take chilli paneer starters, instead this was a contradictory flavour to the normal one as the Bao gave it a sweet bun flavour with those flavourful spices.
Then, I couldn't resist myself to try this Freak Shake. It was worth the money !! So sweet, yum, with ice cream, chocolate milkshake. It's really enough for one with a small appetite.
Asparagus Cheese Sushi - trust me this can be a mind changer for all Sushi haters lol, it was delicious. The crunchy topping and inside flavour was a balance to that whole sushi.

For the main course we ordered :
Large Mexican Sizzler - That sizzled vegetables never tasted so fresh. Even there was better crunch in the fries than we usually have. The patty was so stuffed and good that it was worth trying this out!

A must recommended visit to this resto guys. Ur next stop - TFT",positive,the customer enjoyed a delightful meal at TFT.,The restaurant offered a variety of vegetarian options.,The Freak Shake was a standout dessert.,"[nan, nan, nan, nan, nan]",
spp p,"One of the must Visit Pure veg Restaurant in Mumbai .
Loved the food here.

The food quality was beyond the expectation,
Service was also excellent
one should definitely try this restaurant.",positive,the customer loved the food quality.,The service was excellent.,One should definitely try this restaurant.,"['delicious food', 'excellent service', 'highly recommended', nan, nan]",
Gaurav Bagmar,"Good hotel with nice ambience. Service is also very good and quick. All items are tasty. Average per person cost if you take one drink, 2 starters, 1 main course, 1 desert will be around 1000-1200 per person. But it's worth it. Outside area is very good for photography. Family crowd is also welcome. Recommended to all.",positive,the customer enjoyed the hotel's ambiance.,Service was excellent and quick.,Food was tasty and reasonably priced.,"['nice ambiance', 'good service', 'tasty food', 'average price', nan]",
Saili Singad,"The ambiance is so beautiful, totally loved the vibe.
Staff is courteous to understand what we like and suggest as per that ..
we loved the pasta and sizzler
The only problem was pizza was too small in size as per the standard of restaurant the pizza should have been different because honestly we get same pizza on street style food as well so nothing new or different.!.

Rest all amazing",positive,the customer enjoyed the ambiance and service.,They loved the pasta and sizzler dishes.,The pizza was too small.,"['beautiful ambiance', 'courteous staff', 'amazing food', 'small pizza', nan]",
Mohd Ali,"We ordered of Hakka noodles and a cheese burst pizza. The Hakka noodles were rather mediocre, not particularly commendable. As for the cheese burst pizza, it was exceedingly simple and wholly lacking in flavour, as though it had been crafted by a schoolchild engaged in a casual pastime. The ambience, however, is most agreeable, providing ample opportunities for capturing delightful photographs. The prices, alas, are prohibitively high, ensuring that only a select few dare to venture into this establishment.",neutral,the customer found the Hakka noodles mediocre.,The cheese burst pizza lacked flavor.,The prices were prohibitively high.,,
Aditya,"Great vegetarian continental food restaurant. Service is also good.

Sushi, Paneer Chilly Bao, Aioli pizza, Garlic Bread, Fries, Mock tails were great.

Thumbs down to Singapore Noodles, it was way too oily and 2nd is Waffles: Felt like eating hard biscuit.

Other than these 2 item everything was nice.",positive,the customer expressed positive sentiment.,,,"['delicious dishes', 'good service', 'oily noodles', 'hard waffles', nan]",
Aaditya Asawa,"Good taste and pure veg restaurant.
Must Try: Cheese Cigar
Your stomach would be full if you order Tortellini Pasta, which is very much recommended. Along with this I tried their Nutella Milk Shake (3/5)",positive,the customer enjoyed the restaurant's taste and vegetarian offerings.,Tortellini Pasta was highly recommended.,The Nutella Milk Shake received mixed reviews.,"['good taste', 'veg-friendly', 'recommended dishes', 'full stomach', 'milkshake recommendation']",
Abhijit,"Fantastic experience. The restaurant serves delicious food. It is located near Naupada Police Station. It has great ambience and variety of food to choose. The staff is polite and helps you explore the dishes. The taste is equally amazing. It gives you and your family a complete experience. Definitely recommended.
Update, after some time is that it remains a great choice for the foodies. Make sure you go early in the evening as it gets crowded. Amazing as always with sumptuous food and dishes.",positive,the customer had an amazing dining experience.,The food was sumptuous and varied.,It remains a great choice for foodies.,"['delicious food', 'great ambience', 'polite staff', 'sumptuous dishes', nan]",
Hardik Shah,"I love food here every time.

We were big group of 15 people, which allowed us to enjoy wide variety of dishes. Missed to click photos of most of the items:-)

Soup :  we opted for manchow &  TFT Special soup.  TFT was more of a combination of lemon coriander and spinach soup.

Starters:
Our usual Cheese Sigar.
Lebanese platter. Hummus was really yummy. Pita bread was dry though. Will try next time for sure.
Paneer Tika : Soft panner and balanced on spices.
Masala / Khichiaya papad. Would recommend to go for Khichiaya.

Main course:
Pink Cheese revlovil. Full marks on test here.
Korean rice - greavy was top notch.
Burmese khow suey - Usually we get this as soup but here it was part of the main course. Curry was very thick and less in quantity compared to the noodles we got.
Kali Handi dum biryani: it was avarage.

We ended 31st party with Jamun Shots and kids favourite freak Shake...",positive,the customer enjoyed a diverse menu.,The Korean rice was particularly praised.,Some dishes fell short of expectations.,"[nan, nan, nan, nan, nan]",
Salil D. Pol,"Totally loved this place. Had a great time dining here with my family. They have a great variety of vegetarian options of multiple cuisines and hence parents got to try out a lot of new dishes. Their mocktails are just incredible! If you are planning for an outing with your family, this is the place to go!",positive,the customer loved the restaurant.,They offer a variety of vegetarian options from multiple cuisines.,The mocktails were excellent.,"['family-friendly', 'variety of cuisines', 'delicious mocktails', nan, nan]",
