name,review,sentiment,feedback1,feedback2,feedback3,positive_kws,negative_kws
vora keval,"Equipments :-
The Gold Gym is well equipped, & i never have trouble finding what i need.
The quality of machines are top-notch.

Cleanliness:-
Gym Is Always Clean, and well maintained everything.

Trainers :-
Trainers are incredible knowledgeable and motivating.
They make sure we have an healthy diet and core workout to get results in our body

Classes & Events :-
Gold Gym Have Variety Of Fitness Class With Good Coach
Gold Gym Also Arrange Events & Mini Competition Just For Enthusiasm For All.",positive,the member found the gym well-equipped.,The trainers were knowledgeable and motivating.,There were variety of fitness classes and events.,"['well-equipped', 'top-notch quality', 'clean gym', 'incredible trainers', 'variety of classes']",
mostly insane,"This gym offers an excellent workout environment with a wide variety of well-maintained, modern machines. The equipment is clean, diverse, and suitable for all fitness levels.Highly recommended for anyone looking for a quality gym experience.
The trainers are professional and supportive. I especially want to highlight Mayuri Ubale, my personal trainer, who was truly outstanding. Her guidance, motivation, and personalized approach made a real difference in my fitness journey.",positive,the member enjoyed an excellent workout environment.,The equipment was clean and diverse.,Mayuri Ubale provided exceptional training.,"['quality gym', 'diverse equipment', 'professional trainers', 'outstanding performance', nan]",
Jeel Sanghvi,"Hi, I had requested on the feedback a month back for hygiene concern regards to matt which are torn and dusty. To manager Virendra sir I highlighted onto this for getting few new matts and other props are available above.
On 1st floor staff turns off ac even when members are doing fitness, they knew still they cut power after a while. And trainers when we ask them to correct the posture to avoid any injury, they put their PT scheme directly. This is not how they should be asked to do.",negative,the member raised concerns about hygiene issues.,The staff turned off AC during fitness sessions.,Trainers ignored posture correction requests.,,"['poor hygiene', 'inadequate maintenance', 'staff negligence', 'trainer incompetence', nan]"
Vidya Pillai,I have been going to gold's gym mulund right since it newly started here. The ambiance and vibe is perfect. The trainers are very friendly  and helpful. My personal trainer Sandhya Kamble is a very good trainer. She is well versed with all the machines and techniques  of the exercises. She trains me really well. A very jovial person by nature She constantly motivates me to workout and teaches and explains  the uses of each and every exercise machine. Very happy to be training with her. I can already see lot of progress in my body and have lost a few inches too. Hope the gym hires more trainers like her so that everyone can reap the benefits of a good personal trainer.,positive,the member has been attending Gold’s Gym Mulund regularly.,The ambiance and vibe are excellent.,Personal trainer Sandhya Kamble is highly skilled and motivating.,"['nice ambiance', 'friendly trainers', 'good personal trainer', 'motivational', nan]",
AKSHAY BHOPANI,"Overall Amazing Experience. Clean Gym, Clean Rest Rooms, Full Covid Prevention Measures were taken, and all equipment is sanitized at every use. Coaches are very experienced and ready to help always. Variety of machines to target the right muscles. Gone with Yearly Membership as it's more feasible.",positive,the member had an amazing overall experience.,The gym is clean and well-maintained.,The membership is now yearly due to its feasibility.,"['clean gym', 'experienced coaches', 'full covid prevention', 'variety of machines', nan]",
Sai Parab,"Training with Gourav has been a game-changer for me. He's not just a trainer - he's a motivator, a guide, and someone who genuinely cares about your progress. Whether it's perfecting form, pushing limits, or just showing up on tough days, he's there with the right balance of discipline and encouragement.

Gourav has this rare ability to make workouts feel purposeful and enjoyable at the same time. He understands your goals and crafts every session accordingly. I've seen real results, not just physically but mentally too - stronger, more confident, and more consistent.

If you're looking for someone who's knowledgeable, dedicated, and passionate about fitness - Gourav's your guy.

Highly recommend",positive,the member highly recommends Gourav as a trainer.,"Gourav is knowledgeable, dedicated, and passionate about fitness.",He helps members achieve their goals through purposeful and enjoyable workouts.,"['motivational trainer', 'knowledgeable coach', 'disciplined approach', 'enjoyable workout', nan]",
Diya Palai,"Great gym with excellent facilities and a motivating atmosphere. My trainer Vinita is incredibly knowledgeable, supportive, and truly pushes me to reach my goals. Highly recommend!",positive,the member enjoyed their time at the gym.,The facilities were excellent.,The trainer provided great support.,"['excellent facilities', 'motivating atmosphere', 'knowledgeable trainer', 'supportive trainer', 'highly recommend']",
Ananya Iyer,"Amazing place with a lot of facilities. My trainer Shruti Shetty is an amazing personal trainer. She is very understanding of the health problem but equally strict about laziness (which is really good)
Overall,
Vibe 5/5
Trainer 5/5",positive,the member enjoyed the gym's overall vibe.,The trainer received high praise.,,"['amazing facility', 'outstanding trainer', 'positive vibe', nan, nan]",
Rehan Shah,The experience at golds gym is just out of the world. Best gym that i have been to yet. All new and upgraded equipments.Also the trainers are highly qualified and also interact to you in a kind way. Always there to help and guide us. The housekeeping regularly sanitises each equipment after use. They make us feel to work out in a very comfortable environment. The music played is good too. They also have a canteen which serves tasty food.Regular temperature checks are also done.,positive,the member had an exceptional experience at Golds Gym.,The gym is equipped with modern and upgraded facilities.,The trainers are highly qualified and friendly.,"['outstanding experience', 'highly qualified trainers', 'clean equipment', 'comfortable workout environment', 'good canteen']",
Prasad Parab,"The Best Gym in North Suburb Mumbai. The trainers here are very helpful and guide us whenever required. I'll suggest this gym for fitness transformations to my friends & family members. It is well equipped with the latest machines, CrossFit, Cardio and a dedicated place for Yoga.",positive,the member highly recommends the gym.,The trainers are very helpful and guide members.,It is well-equipped with modern facilities.,"['helpful trainers', 'well-equipped', 'fitness transformation', 'dedicated yoga space', nan]",
Ketan Padaya,The best gym in mulund for all the gym lovers. Gym ambiance is super awesome. Trainers are very supportive and well qualified. Dj system is also too good. All the Equipments are international standard. House keeping staff take care all the necessary precautions under COVID.,positive,the member found the gym excellent.,The ambiance was super awesome.,Trainers were supportive and well qualified.,"['awesome ambiance', 'supportive trainers', 'good equipment', 'clean housekeeping', nan]",
Joshua Dsouza,Gold's gym mulund is an amazing mixture of all kinds of fitness activities from cross fit/functional to weight training and cardio as well as other fun activities. I was trained by shashank sir in my initial time over here and he's a must recommended for beginners as all his training techniques focus on strength building in daily activities. I have gained a lot of strength due to his training regime.All in all great experience till date and will recommend to others as well.,positive,the member had a great experience at Gold’s Gym Mulund.,The gym offers various fitness activities.,Shashank sir is highly recommended for beginners.,"['amazing mix', 'strength building', 'great experience', 'recommended', nan]",
Leena Maluskar,Gold Gym is one of the best place for workout in mulund west. The group activities are of wide variety. The ambience is super. I had the opportunity to get trained from Virendra Trimare. He is superb gives attention to detail and variations in exercises. The equipments also have range of solutions. I have managed to loose 20 kg and also got rid of lower back pain permanently. Many thanks for your guidance Virendra Sir.,positive,the member had a great workout experience at Gold Gym.,The gym offers a variety of group activities.,Virendra Trimare provided excellent training.,"['quality equipment', 'expert trainers', 'cleanliness', 'wide variety classes', 'positive results']",
Shaan M,"One of the best gym to train in town with amazing amount of International equipments @hammerstrength & @ Life fitness  with highly qualified trainers. Amidst of this pandemic they are following all essential protocol like sanitisation at regular basis. Dedicated housekeeping staff.
All the trainers are vaccinated.
Im glad and feel safe while working out.",positive,the member found the gym to be one of the best in town.,It offers a wide range of international equipment.,The gym follows essential protocols during the pandemic.,"['high-quality equipment', 'expert trainers', 'cleanliness', 'pandemic safety', nan]",
Smitesh Sarmalkar,"Gold's Gym in Mulund is well-equipped with latest machines that cater to different workout styles and cardio equipment.

The staff is friendly and professional and the housekeeping regularly sanitizes each equipment after use.

My experience with trainer Akash Mahajan has been a very good one. I appreciate the efforts he takes in helping me achieve my fitness goals. He has vast knowledge and always pushes me to do better.

I highly recommend Akash as a trainer and Gold's Gym,Mulund as it provides the perfect environment to achieve your fitness goals.",positive,the member had a great experience at Gold's Gym.,The gym is well-equipped with modern machines.,Trainer Akash Mahajan is highly recommended.,"[nan, nan, nan, nan, nan]",
Tejas Kothari,"Great gym with top-notch facilities and a super motivating vibe. Huge thanks to my trainer Shashank sir who is knowledgeable, supportive, and always pushing me to do better.",positive,the member enjoyed the gym’s facilities and atmosphere.,the member received excellent support from their trainer.,,"['quality facilities', 'motivating atmosphere', 'knowledgeable trainer', 'supportive coaching', nan]",
1s GameR,This is one of the biggest GYM in Mulund with well equipped machines and best trainer's. I personally visited the gym for trail and the first expression is dope. GYM subscription charges are expensive that's the only problem. But you get each and every thing inside the gym. The equipments and the environment of this justify the subscription charges.,positive,the member found the gym well-equipped and great for personal training.,The subscription charges were considered high by the member.,"Despite the cost, the member felt justified about their purchase.","['well-equipped', 'best trainers', 'expensive subscription', 'good experience', nan]",
Sankalp,"Experience at Gold's Gym is awesome. Trainer here are so helpful and good.
Restroom and Gym is well hygiene.",positive,the member had an awesome experience at Gold’s Gym.,Trainers were helpful and good.,The gym and restroom were hygienic.,"['awesome experience', 'helpful trainers', 'good hygiene', nan, nan]",
Kinjal Sejpal,"Training under the wings of my most most precious trainer SUREKHA NAIK in Mulund Gold Gym has been a life altering experience for me .
Not only is Surekha an absolute veteran trainer with the most precise knowledge in fitness training , but what makes her more special is the way she understands each clients body structure and ability and designs the workout so perfect  , also not to forget she makes sure we are injury free as the right posture is taught to us all time .
In a span of 2 years I have migrated from being a regular fitness person to becoming a mountaineer climbing mountains above 20000 feet, all possible only on her guidance and hard work.
She made sure I build my endurance slowly n steadily in such a way such that I can do ultra runs today .
It's an absolute blessing to be under her wings in This branch of Golds gym Mulund
Without her I would have not been where I'm  today .",positive,the member had a transformative experience under their trainer.,Their trainer provided personalized and effective workouts.,The member credits their progress to their trainer's guidance.,"['experienced trainer', 'personalized coaching', 'fitness transformation', 'injury prevention', nan]",
rachana shah,"Joined the Gold's gym two months ago, very good support staff (housekeeping, and valet guys), helpful and attentive trainers including the floor trainers (Sharan and one more guy). They proactively correct your form if you're making any mistakes, help with equipment adjustment, assist with heavy weights. Also, the equipment is well maintained, with good options, and availability. Overall, an excellent and encouraging environment to workout in, even as a newbie at the gym. Best decision to join Gold's! :)",positive,the member has been enjoying their time at Gold’s gym.,The support staff and trainers are very helpful and attentive.,The equipment is well-maintained and available.,"['good support staff', 'helpful trainers', 'well-maintained equipment', 'encouraging environment', nan]",
Satyawan Kadalag,"I wanted to take a moment to express my sincere gratitude to you and the entire team at Gold's Gym for your support and encouragement throughout my fitness journey, especially during my training for the Kedarkantha trek(Himalayan peak, 12500 ft , -5 degrees temperature)

Completing the Kedarkantha trek was a significant achievement for me, and I couldn't have done it without the guidance and motivation I received from the trainers at Gold's Gym especially Akira sir,Krishna sir and Rakesh sir. Their expertise, dedication, and encouragement played a crucial role in helping me build the strength, endurance, and confidence needed to tackle such a challenging adventure.

I am truly grateful for the personalized training programs, valuable advice, and unwavering support I received from these trainers. Whether it was pushing me to go the extra mile during workouts, providing helpful tips on nutrition and hydration, or simply offering words of encouragement when I needed them most, they were always there for me every step of the way.

During my knee injury, I got very good personal training from Sunil Unchavale sir which really helped me to gain strength for my impacted leg.

Once again, thank you from the bottom of my heart for everything you and the team at Gold's Gym have done for me. Your dedication and commitment have made a positive impact on my life, and I am truly grateful for the opportunity to train with such amazing professionals.

I look forward to continuing my fitness journey with Gold's Gym and am excited to see what the future holds.",positive,the member had a transformative fitness experience.,Personalized training and expert guidance were invaluable.,Supportive trainers helped overcome challenges.,"['personalized training', 'dedicated trainers', 'encouraging support', 'valuable advice', nan]",
